id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
3apeWaB90hhewS30qYZJda,Falsa Baiana,samba,https://open.spotify.com/track/3apeWaB90hhewS30qYZJda,13.0,0.943,0.588,0.0616,0.104,0.116,0.0436,132933.0,9.0,-25.052,1.0,103.556,0.611,3.0,1970-01-01,0.0,9542
0QcxfiX4q9KAj2K6uzpwdp,"No Mexe Mexe, no Bole Bole",samba,https://open.spotify.com/track/0QcxfiX4q9KAj2K6uzpwdp,45.0,0.659,0.625,0.8079999999999999,0.0,0.118,0.128,239560.0,3.0,-8.899,1.0,107.66,0.938,79.0,1999-07-15,0.0,9543
4j0JOQJkDnO0mYXpt7n62e,Clareou - Ao Vivo,samba,https://open.spotify.com/track/4j0JOQJkDnO0mYXpt7n62e,54.0,0.757,0.5870000000000001,0.64,1.44e-06,0.22,0.0337,221466.0,0.0,-8.266,1.0,102.388,0.598,79.0,2016-09-23,0.0,9544
4zkhHy9rojEZn3jarsPoFe,Minha Historia (Gesubambino),samba,https://open.spotify.com/track/4zkhHy9rojEZn3jarsPoFe,37.0,0.401,0.426,0.464,0.0,0.35200000000000004,0.0306,181306.0,6.0,-7.298999999999999,0.0,135.512,0.361,70.0,1971-01-01,0.0,9545
4r4CwWbZeiWLhk4eaHsG9K,Drão - Ao Vivo,samba,https://open.spotify.com/track/4r4CwWbZeiWLhk4eaHsG9K,31.0,0.343,0.443,0.398,2.13e-05,0.154,0.104,301386.0,0.0,-13.157,1.0,151.994,0.435,79.0,1994,0.0,9546
2dhV6VPKdqNg85vgv16xjo,Cheiro De Amor,samba,https://open.spotify.com/track/2dhV6VPKdqNg85vgv16xjo,53.0,0.126,0.63,0.525,0.0,0.0834,0.0402,141200.0,5.0,-12.425999999999998,1.0,127.689,0.459,68.0,1979-01-01,0.0,9547
0mW4qfi2vus7qErr9jAeFJ,Duas Cidades,samba,https://open.spotify.com/track/0mW4qfi2vus7qErr9jAeFJ,45.0,0.125,0.789,0.899,0.0,0.103,0.138,226040.0,6.0,-6.363,1.0,97.999,0.847,79.0,2016-06-01,0.0,9548
5kROTZF2vlfQ4mCP8af4mg,Sabor Do Rio,samba,https://open.spotify.com/track/5kROTZF2vlfQ4mCP8af4mg,24.0,0.243,0.643,0.818,0.0,0.308,0.258,251920.0,2.0,-5.07,1.0,101.812,0.628,78.0,2020-02-28,0.0,9549
3AN4NAyv9t1XtHL7hvjjkS,A Fumaça Já Subiu Pra Cuca,samba,https://open.spotify.com/track/3AN4NAyv9t1XtHL7hvjjkS,41.0,0.441,0.7070000000000001,0.723,0.0,0.304,0.272,237866.0,7.0,-7.19,0.0,86.97,0.9,79.0,1996-01-01,0.0,9550
7mg53oUwVu5R2N4WErPs2b,"Lamento No Morro - Trilha Sonora Do Filme ""Garota De Ipanema""",samba,https://open.spotify.com/track/7mg53oUwVu5R2N4WErPs2b,18.0,0.805,0.395,0.364,0.0208,0.124,0.0345,147933.0,2.0,-12.718,0.0,140.873,0.219,79.0,1967-01-01,0.0,9551
