id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit,idx
4ytcnBQOoAHtHiIQ4zXPWe,Bulletproof Weeks,acoustic,https://open.spotify.com/track/4ytcnBQOoAHtHiIQ4zXPWe,41.0,0.795,0.56,0.217,0.0,0.096,0.0428,241306.0,3.0,-11.290999999999999,1.0,128.737,0.32899999999999996,78.0,2007-01-01,0.0,62
3SAqw0mM2pihDo5lkhY0Ez,Meant To Be,acoustic,https://open.spotify.com/track/3SAqw0mM2pihDo5lkhY0Ez,34.0,0.0005679999999999999,0.611,0.807,3.69e-05,0.10099999999999999,0.0383,205213.0,1.0,-3.9360000000000004,1.0,115.99700000000001,0.613,11.0,2013-01-01,0.0,63
5gIC87FKCeNUpDGuO8KWwR,Armchair Anarchism,acoustic,https://open.spotify.com/track/5gIC87FKCeNUpDGuO8KWwR,36.0,0.11199999999999999,0.637,0.91,0.0,0.165,0.0373,146070.0,7.0,-4.979,1.0,109.83200000000001,0.965,79.0,2015-10-30,0.0,64
46KacVTVWMkyXS0jf7TwOX,Transvestities Can Be Cannibals Too,acoustic,https://open.spotify.com/track/46KacVTVWMkyXS0jf7TwOX,43.0,0.151,0.499,0.614,3.52e-06,0.0555,0.0621,276973.0,7.0,-8.175,1.0,89.038,0.605,79.0,2012-04-01,1.0,65
62E8qR6qxOhBISzG4c01AW,Back to You,acoustic,https://open.spotify.com/track/62E8qR6qxOhBISzG4c01AW,38.0,0.177,0.696,0.66,2.57e-05,0.32899999999999996,0.239,193295.0,10.0,-7.7860000000000005,1.0,82.45700000000002,0.905,78.0,2019-04-19,0.0,66
7glV2fqyoEBB80RBZ8XLQT,Baby I Want You,acoustic,https://open.spotify.com/track/7glV2fqyoEBB80RBZ8XLQT,34.0,0.755,0.636,0.191,0.00041500000000000017,0.11699999999999999,0.0356,180866.0,7.0,-13.638,1.0,142.511,0.309,2.0,2008-01-01,0.0,67
7ncYOSI1548FxYILBj6H2o,Our Corner of the Universe,acoustic,https://open.spotify.com/track/7ncYOSI1548FxYILBj6H2o,42.0,0.953,0.273,0.0924,0.14800000000000002,0.10800000000000001,0.0362,319386.0,5.0,-13.045,0.0,136.02,0.0627,79.0,2016-05-31,0.0,68
7qARJtV8ho9OkRmrO3XQdj,It's Such a Good Feeling,acoustic,https://open.spotify.com/track/7qARJtV8ho9OkRmrO3XQdj,37.0,0.9209999999999999,0.369,0.207,2.7899999999999997e-05,0.0944,0.0284,113813.0,1.0,-10.088,1.0,97.59700000000001,0.11900000000000001,79.0,2018-11-02,0.0,69
3JiiqMYLbnHa1qys1JOpFK,Cannonball,acoustic,https://open.spotify.com/track/3JiiqMYLbnHa1qys1JOpFK,50.0,0.845,0.642,0.284,0.000234,0.113,0.0326,310000.0,1.0,-15.317,1.0,147.874,0.439,2.0,2003-06-03,0.0,70
7jKxEGp0zXkwbFTWHHtsdC,Fall Apart Today,acoustic,https://open.spotify.com/track/7jKxEGp0zXkwbFTWHHtsdC,54.0,0.851,0.41600000000000004,0.295,0.0,0.156,0.0302,203760.0,10.0,-11.523,1.0,108.211,0.522,79.0,2009-01-27,0.0,71
