,id,name,artist,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit
6299,7aJ5Hx4GXT1pTTrPRkeKv9,Just Got Paid,Johnny Kemp,j-pop,42.0,0.0398,0.786,0.745,1.68e-06,0.779,0.0381,331066.0,11.0,-7.012,0.0,114.951,0.946,79.0,2015-06-19,0.0
6300,2RC8MNbpvyunKFvsU7ANNB,"Hot 'Lanta - Live At The Final Fillmore East Concert, 1971",The Allman Brothers Band,j-rock,37.0,0.292,0.18,0.463,0.818,0.846,0.0399,351626.0,2.0,-14.566,1.0,69.923,0.357,79.0,1972-02-12,0.0
6301,1Nm7gI6fbdeUMWSA1YSpEk,Between Something and Nothing,The Ocean Blue,j-rock,41.0,0.00929,0.463,0.89,0.577,0.498,0.029,242026.0,0.0,-9.943,1.0,150.066,0.912,77.0,1989-07-21,0.0
6302,4pRqq3MwcqitKqNO8rOrOb,I Love...,Official HIGE DANdism,j-rock,46.0,0.0171,0.54,0.706,0.0,0.225,0.0543,282026.0,9.0,-5.235,1.0,172.021,0.385,77.0,2019-12-31,0.0
6303,4ouHnqx22lzTZHr2hEt5aH,Our Love,Sharon Van Etten,j-rock,59.0,0.134,0.578,0.513,0.688,0.106,0.0301,232760.0,1.0,-9.868,0.0,162.015,0.398,79.0,2014-05-27,0.0
6304,0lNaytiCORnMNZTEBQxlPv,Affirmation,George Benson,j-rock,44.0,0.724,0.653,0.743,0.943,0.0595,0.042,418960.0,11.0,-9.051,0.0,107.016,0.869,79.0,1976,0.0
6305,63WY1u5pDf6Nk5Z7xqmn9f,Feats Don't Fail Me Now,Little Feat,j-rock,39.0,0.495,0.628,0.627,3.91e-05,0.129,0.0349,147666.0,7.0,-14.334,1.0,97.65,0.896,79.0,1974,0.0
6306,7g7AZlrRi2PiyvfsGMdbaM,Red Lights,Brian Fallon,j-rock,41.0,0.005,0.54,0.875,4.21e-06,0.102,0.0321,215493.0,0.0,-4.995,1.0,102.951,0.657,79.0,2016-03-11,0.0
6307,4Lk86divN6elNG9ShrqSuZ,Outdoor Miner - 2006 Remastered Version,Wire,j-rock,45.0,0.431,0.568,0.636,3.02e-06,0.492,0.0297,104506.0,4.0,-8.862,1.0,124.37,0.71,79.0,1978-08-07,0.0
6308,6S5VkcX3Gmqw8EJY6yFy64,Holdin On To Black Metal,My Morning Jacket,j-rock,36.0,0.0547,0.459,0.855,2.33e-05,0.196,0.0305,259333.0,2.0,-4.317,1.0,108.952,0.849,4.0,2011-05-31,0.0
6309,2FYNX8DuCpb6xNL4B0vtve,Perfect Pillow,Chon,j-rock,46.0,0.00816,0.426,0.917,0.658,0.114,0.0826,215620.0,7.0,-4.674,1.0,116.051,0.556,79.0,2015-03-23,0.0
6310,29XyrA9LxrDAMSqOvPWtMy,Bad Case,Lukas Nelson and Promise of the Real,j-rock,42.0,0.00762,0.531,0.921,0.0,0.107,0.0371,279910.0,0.0,-4.566,1.0,124.451,0.366,79.0,2019-06-14,0.0
6311,3y8rEUEUdmAcPCpPoLotnO,Run-Around,Blues Traveler,j-rock,56.0,0.0675,0.591,0.907,0.0,0.0903,0.0837,280093.0,7.0,-5.648,1.0,151.961,0.817,79.0,2002-01-01,0.0
6312,1vbuYXOfUu6qXcjCrLdAaD,Starting Over Again,Natalie Cole,j-rock,57.0,0.819,0.591,0.3,5.69e-06,0.193,0.0318,253520.0,0.0,-13.034,1.0,115.37,0.178,79.0,1989,0.0
6313,1BlJdQjT6QYjRlfP0C1rz1,"Brown-Eyed Women - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77",Grateful Dead,j-rock,53.0,0.419,0.715,0.51,0.112,0.806,0.0417,348946.0,9.0,-14.403,1.0,111.302,0.735,79.0,2017-05-05,0.0
6314,1E75VDbTXfmoBNIAOMEmQC,Blind to you,Aimer,j-rock,50.0,0.112,0.506,0.479,1.64e-05,0.103,0.0275,279746.0,1.0,-8.225,1.0,81.027,0.443,78.0,2019-08-14,0.0
6315,5wquLeDwlxxjijDWPQNzIT,Everything's Right,Phish,j-rock,50.0,0.385,0.338,0.656,0.00185,0.109,0.0559,741611.0,9.0,-9.542,1.0,176.613,0.464,79.0,2020-04-02,0.0
6316,01kGrudfKh9iZiyzvFp9D4,Voice of Wind,RADWIMPS,j-rock,46.0,0.0151,0.515,0.931,0.0,0.253,0.0572,253373.0,7.0,-2.147,1.0,120.015,0.764,78.0,2019-11-27,0.0
6317,74HX1HcsR135apNYpHUUZj,That Was A Crazy Game Of Poker,O.A.R.,j-rock,57.0,0.0608,0.512,0.785,0.0,0.0673,0.12,523203.0,0.0,-4.21,1.0,79.183,0.598,79.0,2016-06-03,0.0
6318,3KPp825w9niuNqzXu9AgQ4,You Used To Say (Holy Fuck),The Front Bottoms,j-rock,44.0,0.00122,0.624,0.736,0.0204,0.121,0.0318,240826.0,5.0,-7.163,1.0,112.009,0.325,79.0,2017-10-13,1.0
6319,70aIi06FVnxG9FOecCSf8k,女神,POLKADOT STINGRAY,j-rock,50.0,0.0412,0.483,0.747,1.32e-06,0.321,0.106,235213.0,0.0,-3.852,1.0,169.888,0.849,79.0,2019-11-08,0.0
6320,0XDv7SLyMkGcAnb12fMHa1,Senses Working Overtime - Remastered,XTC,j-rock,52.0,0.0289,0.68,0.665,0.0289,0.659,0.0355,290667.0,0.0,-11.886,1.0,129.899,0.862,79.0,1982-02-12,0.0
6321,1Hi6XYNirfRidjPo18UUq0,Welcome ’Round Here,The Marcus King Band,j-rock,43.0,0.00904,0.297,0.734,0.00443,0.0959,0.0443,261546.0,0.0,-7.255,1.0,93.259,0.252,79.0,2018-10-05,0.0
6322,7qcmuxVCAxLLC3xI7BulG8,Ministry,Karen O,j-rock,48.0,0.137,0.462,0.65,0.103,0.0807,0.0353,306466.0,11.0,-10.332,1.0,140.563,0.299,78.0,2019-03-15,0.0
6323,04JxGb2a7q9da31eNNCPs6,Your Song,Al Jarreau,j-rock,50.0,0.689,0.523,0.304,0.0242,0.106,0.0333,338386.0,3.0,-12.081,1.0,120.392,0.114,77.0,1976-06-15,0.0
6324,06hX2daPPS7JP5f9rJI3t2,Only Memories Remain,My Morning Jacket,j-rock,46.0,0.141,0.578,0.406,0.0677,0.156,0.0266,429858.0,5.0,-9.038,1.0,132.492,0.392,4.0,2015-05-04,0.0
6325,001m5KK2fu67yZ5ZW46LDZ,Ginger,The Front Bottoms,j-rock,39.0,2.16e-05,0.393,0.878,0.000106,0.375,0.04,194320.0,1.0,-3.705,1.0,152.283,0.5,61.0,2015-09-18,0.0
6326,1Hd5JgVdf45pyZJiUyIe9w,St. Stephen - 2013 Remaster,Grateful Dead,j-rock,47.0,0.552,0.394,0.366,9.3e-06,0.0991,0.0472,267506.0,9.0,-12.883,1.0,91.259,0.549,77.0,1969,0.0
